class,image,iou,dice,precision,recall
HD,f_r_1800_,0.806367,0.892805,0.913008,0.873477
HD,f_r_1892_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1920_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1931_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1948_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1965_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1992_,1.000000,1.000000,1.000000,1.000000
HD,f_r_2052_,0.856456,0.922678,0.980103,0.871611
HD,f_r_209_,0.000000,0.000000,0.000000,1.000000
HD,f_r_214_,1.000000,1.000000,1.000000,1.000000
HD,f_r_246_,1.000000,1.000000,1.000000,1.000000
HD,f_r_24_,0.000000,0.000000,0.000000,1.000000
HD,f_r_263_,1.000000,1.000000,1.000000,1.000000
HD,f_r_329_,0.859725,0.924572,0.944296,0.905655
HD,f_r_392_,1.000000,1.000000,1.000000,1.000000
HD,f_r_403_,1.000000,1.000000,1.000000,1.000000
HD,f_r_446_,1.000000,1.000000,1.000000,1.000000
HD,f_r_478_,0.000000,0.000000,0.000000,1.000000
HD,f_r_54_,1.000000,1.000000,1.000000,1.000000
HD,f_r_604_,1.000000,1.000000,1.000000,1.000000
HD,f_r_644_,1.000000,1.000000,1.000000,1.000000
HD,f_r_721_,1.000000,1.000000,1.000000,1.000000
HD,f_r_93_,1.000000,1.000000,1.000000,1.000000
HD,n_l_0_,1.000000,1.000000,1.000000,1.000000
HD,n_l_100_,1.000000,1.000000,1.000000,1.000000
HD,n_l_102_,1.000000,1.000000,1.000000,1.000000
HD,n_l_12_,0.904886,0.950068,0.941929,0.958349
HD,n_l_15_,1.000000,1.000000,1.000000,1.000000
HD,n_l_18_,0.835306,0.910263,0.866243,0.958997
HD,n_l_26_,0.879662,0.935979,0.930586,0.941435
HD,n_l_29_,0.869208,0.930028,0.936556,0.923591
HD,n_l_3_,1.000000,1.000000,1.000000,1.000000
HD,n_l_44_,1.000000,1.000000,1.000000,1.000000
HD,n_l_48_,0.857972,0.923557,0.980709,0.872700
HD,n_l_52_,0.951672,0.975238,0.993730,0.957421
HD,n_l_79_,1.000000,1.000000,1.000000,1.000000
HD,n_l_84_,1.000000,1.000000,1.000000,1.000000
HD,n_l_87_,0.818036,0.899912,0.888009,0.912138
HD,w_r_101_,0.000000,0.000000,0.000000,1.000000
HD,w_r_109_,0.919723,0.958183,0.967985,0.948578
HD,w_r_10_,0.645053,0.784234,0.922909,0.681789
HD,w_r_111_,0.882562,0.937618,0.972256,0.905364
HD,w_r_116_,0.664491,0.798431,0.964015,0.681392
HD,w_r_147_,0.844798,0.915871,0.956639,0.878436
HD,w_r_14_,1.000000,1.000000,1.000000,1.000000
HD,w_r_150_,0.402260,0.573731,0.876825,0.426353
HD,w_r_157_,1.000000,1.000000,1.000000,1.000000
HD,w_r_199_,0.679832,0.809405,0.906951,0.730804
HD,w_r_201_,1.000000,1.000000,1.000000,1.000000
HD,w_r_217_,1.000000,1.000000,1.000000,1.000000
HD,w_r_22_,0.812082,0.896297,0.975030,0.829330
HD,w_r_30_,1.000000,1.000000,1.000000,1.000000
HD,w_r_3_,0.000000,0.000000,0.000000,1.000000
HD,w_r_43_,1.000000,1.000000,1.000000,1.000000
HD,w_r_4_,0.605490,0.754274,0.669840,0.863064
HD,w_r_50_,1.000000,1.000000,1.000000,1.000000
HD,w_r_59_,0.895193,0.944698,0.932328,0.957401
HD,w_r_6_,1.000000,1.000000,1.000000,1.000000
HD,w_r_84_,0.006861,0.013629,0.333333,0.006957
RI,d_r_122_,0.000000,0.000000,0.000000,1.000000
RI,d_r_129_,0.862930,0.926422,0.946447,0.907228
RI,d_r_144_,0.963976,0.981658,0.977138,0.986219
RI,d_r_166_,1.000000,1.000000,1.000000,1.000000
RI,d_r_182_,0.900974,0.947908,0.936372,0.959731
RI,d_r_196_,0.000000,0.000000,0.000000,1.000000
RI,d_r_233_,0.956701,0.977871,0.995580,0.960782
RI,d_r_277_,0.943709,0.971039,0.997031,0.946368
RI,d_r_300_,0.000000,0.000000,0.000000,1.000000
RI,d_r_345_,0.885794,0.939439,0.955698,0.923724
RI,d_r_379_,1.000000,1.000000,1.000000,1.000000
RI,d_r_384_,0.000000,0.000000,0.000000,1.000000
RI,d_r_386_,0.000000,0.000000,0.000000,1.000000
RI,d_r_465_,0.959792,0.979484,0.990576,0.968637
RI,d_r_47_,0.957877,0.978485,0.996790,0.960841
RI,d_r_547_,0.921629,0.959216,0.981028,0.938353
RI,d_r_552_,0.000000,0.000000,0.000000,1.000000
RI,d_r_58_,0.885121,0.939060,0.898767,0.983136
RI,d_r_598_,0.958213,0.978661,0.987383,0.970092
RI,d_r_602_,0.000000,0.000000,0.000000,1.000000
RI,d_r_635_,0.978084,0.988921,0.997361,0.980622
RI,d_r_801_,0.792104,0.883993,0.861751,0.907413
RI,d_r_84_,0.932943,0.965308,0.991918,0.940089
RI,f_r_1033_,0.926413,0.961801,0.954841,0.968863
RI,f_r_1059_,0.799729,0.888722,0.958306,0.828558
RI,f_r_106_,0.859967,0.924712,0.980202,0.875168
RI,f_r_1079_,0.951858,0.975335,0.985216,0.965651
RI,f_r_1165_,0.202596,0.336931,0.211375,0.829866
RI,f_r_1199_,0.000000,0.000000,0.000000,1.000000
RI,f_r_1220_,0.000000,0.000000,0.000000,1.000000
RI,f_r_1229_,1.000000,1.000000,1.000000,1.000000
RI,f_r_1276_,0.901289,0.948082,0.977129,0.920712
RI,f_r_1282_,0.925362,0.961234,0.969615,0.952997
RI,f_r_1298_,0.949300,0.973991,0.978241,0.969777
RI,f_r_1303_,1.000000,1.000000,1.000000,1.000000
RI,f_r_1319_,1.000000,1.000000,1.000000,1.000000
RI,f_r_1340_,0.900733,0.947774,0.977732,0.919598
RI,f_r_13_,0.935117,0.966471,0.965488,0.967455
RI,f_r_1410_,0.924949,0.961011,0.943781,0.978883
RI,f_r_1428_,0.951818,0.975314,0.981159,0.969539
RI,f_r_1435_,0.000000,0.000000,0.000000,1.000000
RI,f_r_1440_,0.972702,0.986162,0.992566,0.979841
RI,f_r_1450_,0.000000,0.000000,0.000000,1.000000
RI,f_r_1452_,0.000000,0.000000,0.000000,1.000000
RI,f_r_1461_,1.000000,1.000000,1.000000,1.000000
RI,f_r_1467_,1.000000,1.000000,1.000000,1.000000
RI,f_r_1471_,1.000000,1.000000,1.000000,1.000000
RI,f_r_1478_,0.000000,0.000000,0.000000,1.000000
RI,f_r_1644_,0.000000,0.000000,0.000000,1.000000
RI,f_r_1737_,0.849904,0.918863,0.969098,0.873579
RI,f_r_1782_,1.000000,1.000000,1.000000,1.000000
RI,f_r_1800_,0.956223,0.977622,0.977262,0.977982
RI,f_r_1892_,0.979911,0.989854,0.991207,0.988504
RI,f_r_1920_,0.000000,0.000000,0.000000,1.000000
RI,f_r_1931_,0.000000,0.000000,0.000000,1.000000
RI,f_r_1948_,0.823484,0.903198,0.949526,0.861181
RI,f_r_1965_,0.718239,0.836018,0.985194,0.726076
RI,f_r_1992_,0.000000,0.000000,0.000000,1.000000
RI,f_r_2052_,0.811673,0.896048,0.992598,0.816616
